job_id,title,company,city,posted_date,job_type,source,description
KAGGLE_00016,Associate Data Scientist I,UST Global,Bangalore,2022-07-07,,kaggle_2022,Apply machine learning techniques like clustering decision tree learning artificial neural networks etc. to streamline data analysis.
KAGGLE_00017,Machine Learning Developer,Tech Opportunity,Mumbai,2022-07-25,,kaggle_2022,"Machine learning: 2 years (Preferred).,We have an urgent opening for Machine learning Developer for Andheri East Location."
KAGGLE_00018,Machine Learning Engineer,Quantiphi,Mumbai,2022-07-22,,kaggle_2022,"Developing high-level solution architectures and working with our offshore team of big-data engineers and decision science analysts to build, test, and assess…"
KAGGLE_00019,Python Machine Learning/AI Engineer,Mobotics,Delhi,2022-06-26,,kaggle_2022,"Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Familiarity with machine learning frameworks (like…"
KAGGLE_00020,Data Analyst,Maersk,Chennai,2022-07-19,,kaggle_2022,"Analyze data and develop machine learning models to support decision making in the business.,Data exploration, analysis, synthesis, and presentation."
KAGGLE_00021,Machine Learning Engineer,Ideapoke,Bangalore,2022-07-19,,kaggle_2022,"We are looking for an expert in machine learning to help us extract value from our data.,Proficiency with Python and basic libraries for machine learning such…"
KAGGLE_00022,Data analyst,Honeywell,Bangalore,2022-07-19,,kaggle_2022,"Join a company that is transforming from a traditional industrial company to a contemporary digital industrial business, harnessing the power of cloud, big data…"
KAGGLE_00023,Machine Learning Engineer,ServiceNow,Hyderabad,2022-07-21,,kaggle_2022,"At ServiceNow, our technology makes the world work for everyone, and our people make it possible.,We move fast because the world can’t wait, and we innovate in…"
KAGGLE_00024,Machine Learning Intern,Hacklab Solutions Private Limited,Bangalore,2022-07-24,,kaggle_2022,"Work on cutting-edge problems around edge AI and implementing machine learning algorithms on embedded devices.,Job Types: Full-time, Internship."
KAGGLE_00025,Machine Learning Engineer,PeopleGrove,Remote,2022-06-26,,kaggle_2022,"Working knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)."
KAGGLE_00026,Data Scientist,Lincode Labs,Bangalore,2022-07-26,,kaggle_2022,"Exposure to model compression and pruning in deep learning.,Excellent knowledge on any/all of the given concepts in Computer Vision - namely Image…"
KAGGLE_00027,– Machine Learning Engineer,Sourcedesk Global,Kolkata,2022-06-26,,kaggle_2022,"We are looking for a highly capable machine learning engineer to optimize our machine learning systems.,Keeping abreast of developments in machine learning."
KAGGLE_00028,Machine Learning Engineer,Mercedes-Benz Research and Development India...,Bangalore,2022-06-26,,kaggle_2022,"Develop RESTful APIs to serve machine learning models in production and strong debugging skills.,Job Description and desired Skills for ML Engineer."
KAGGLE_00029,Associate Machine Learning Scientist,Wadhwani Institute for Artificial Intelligence,Delhi,2022-07-22,,kaggle_2022,"Track record of project work in applied machine learning.,As an Associate ML Scientist, you will be responsible for building robust machine learning solutions…"
KAGGLE_00030,Computer Vision Research/ Platform Engineer - Machine Learni...,Mercedes-Benz Research and Development India...,Bangalore,2022-06-26,,kaggle_2022,"Demonstrated past algorithm development in at least one area within machine learning like neural networks, clustering, object tracking."
KAGGLE_00031,– Machine Learning Engineer,Sourcedesk Global,Kolkata,2022-06-26,,kaggle_2022,"Keeping abreast of developments in machine learning.,Consulting with managers to determine and refine machine learning objectives."
KAGGLE_00032,Machine Learning Engineer,Mercedes-Benz Research and Development India...,Bangalore,2022-06-26,,kaggle_2022,"Develop RESTful APIs to serve machine learning models in production and strong debugging skills.,Enthusiastic self-starter with 4-6+ years industry experience…"
KAGGLE_00033,Associate Machine Learning Scientist,Wadhwani Institute for Artificial Intelligence,Delhi,2022-07-22,,kaggle_2022,"Track record of project work in applied machine learning.,As an Associate ML Scientist, you will be responsible for building robust machine learning solutions…"
KAGGLE_00034,Computer Vision Research/ Platform Engineer - Machine Learni...,Mercedes-Benz Research and Development India...,Bangalore,2022-06-26,,kaggle_2022,"Demonstrated past algorithm development in at least one area within machine learning like neural networks, clustering, object tracking."
KAGGLE_00035,Machine Learning Engineer,MetaMap,Bangalore,2022-06-26,,kaggle_2022,"Ability to train machine learning models, monitor metrics, and set up proper benchmarks.,Train machine learning models, compute metrics, monitor these models…"
KAGGLE_00036,( Pyspark ) Data Scientist,EY,Bangalore,2022-07-26,,kaggle_2022,"Excellent knowledge in statistical techniques and advanced machine learning algorithms - regression, classification, clustering, time series, decision trees,…"
KAGGLE_00037,Machine Learning Engineer,Alphanet Solution,Bangalore,2022-07-16,,kaggle_2022,"Basic understanding of data analytics and/or machine learning algorithms (e.g., neural networks, tree-based methods, unsupervised learning, etc) and statistics."
KAGGLE_00038,Data science,Gex Search,Hyderabad,,,kaggle_2022,"Implement machine learning frameworks for automatically retraining models, generating accuracy.,Analyse deep learning networks and framework implementations to…"
KAGGLE_00039,Freelance Content Writer,Badatya Private Limited,Delhi,2022-07-25,,kaggle_2022,"Creating content for the company's websites.,Researching ideas and facts pertinent to the topic assigned.,Writing fresh content for social media pages."
KAGGLE_00040,Admin Manager,Climate Connect,Delhi,2022-07-21,,kaggle_2022,"As an Admin Manager, you will ensure all support activities run efficiently and effectively to allow the other departments to function smoothly."
KAGGLE_00041,Operation Analyst,Financial Fabric,Kolkata,,,kaggle_2022,"It combines traditional big data and machine learning technologies to solve different classes of data and analytical problems.,MS-Excel, MS-Word, Outlook."
KAGGLE_00042,Java Developer,Recrosoft Technologies,Bangalore,2022-07-22,,kaggle_2022,"2.Write well designed, testable, efficient code.,3.Ensure designs are in compliance with specifications.,4.Prepare and produce releases of software components."
KAGGLE_00043,Machine Learning Engineer,Hitachi Vantara Corporation,Pune,2022-07-22,,kaggle_2022,"Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Study and transform data science prototypes."
KAGGLE_00044,Machine Learning-Consultant,Wipro Limited,Bangalore,2022-06-26,,kaggle_2022,"You should be able to build a custom Function Module with medium complexity program logic.,Minimum work experience: 5 - 8 YEARS."
KAGGLE_00045,Machine learning engineer,3loq,Hyderabad,2022-07-01,,kaggle_2022,"0-2 years of machine learning experience.,Machine learning, Data analysis, Statistics & Probability.,Checking data from every stage and every base for assigned…"
KAGGLE_00046,KYC System Analyst,Brickendon Consulting,Hyderabad,2022-07-19,,kaggle_2022,"Focused on three practice areas of digital, data and automation, our aim is to disrupt the market with the latest machine learning, automation, data analytics…"
KAGGLE_00047,Data Science/Data Analytics,Intrics Solutions Pvt Ltd,Noida,2022-07-22,,kaggle_2022,"Hands-on experience in technologies and tools related to NLP, Deep learning and Machine learning.,Responsible for designs and development of enterprise-wide…"
KAGGLE_00048,Data Analyst 2-8,PayPal,Bangalore,2022-07-22,,kaggle_2022,"For example, using machine learning to determine how we identify fraud.,And you will do it all by collaborating with a global team of colleagues across sales,…"
KAGGLE_00049,Machine Learning,Angel's Virtual World,Delhi,2022-07-09,,kaggle_2022,"Designing and developing machine learning and deep learning systems.,Designing machine learning systems.,Running machine learning tests and experiments."
KAGGLE_00050,Machine Learning Engineer,Hitachi,Pune,2022-07-22,,kaggle_2022,"Run machine learning tests and experiments.,Develop machine learning applications according to requirements.,Hitachi Vantara elevates your innovation advantage…"
KAGGLE_00051,Data Science/Data Analytics,Excellence and Eminence LLP,Bangalore,2022-07-21,,kaggle_2022,"Developing prediction systems and machine learning algorithms.,Using machine learning tools to select features, create and optimize classifiers."
KAGGLE_00052,Senior Machine Learning Scientist,Microsoft,Bangalore,2022-07-23,,kaggle_2022,Strong knowledge and skills in machine learning software development and architectures for machine learning (with focus on deep learning).
