job_id,skill_id,skill_name
KAGGLE_01038,16,Pandas
KAGGLE_01038,20,Python
KAGGLE_01041,22,R
KAGGLE_01047,20,Python
KAGGLE_01050,13,Machine Learning
KAGGLE_01052,26,SQL
KAGGLE_01059,17,Power BI
KAGGLE_01063,4,Excel
KAGGLE_01065,26,SQL
KAGGLE_01069,4,Excel
KAGGLE_01069,18,PowerPoint
KAGGLE_01072,26,SQL
KAGGLE_01075,4,Excel
KAGGLE_01077,16,Pandas
KAGGLE_01077,20,Python
KAGGLE_01079,30,Tableau
KAGGLE_01081,17,Power BI
KAGGLE_01083,20,Python
KAGGLE_01083,22,R
KAGGLE_01083,29,Statistics
KAGGLE_01084,29,Statistics
KAGGLE_01090,17,Power BI
KAGGLE_01092,17,Power BI
KAGGLE_01092,30,Tableau
KAGGLE_01095,17,Power BI
KAGGLE_01095,26,SQL
KAGGLE_01095,30,Tableau
KAGGLE_01097,4,Excel
KAGGLE_01098,4,Excel
KAGGLE_01098,18,PowerPoint
KAGGLE_01099,17,Power BI
KAGGLE_01102,10,JavaScript
KAGGLE_01106,4,Excel
KAGGLE_01109,4,Excel
KAGGLE_01116,26,SQL
KAGGLE_01119,29,Statistics
KAGGLE_01122,17,Power BI
KAGGLE_01122,29,Statistics
KAGGLE_01122,30,Tableau
KAGGLE_01126,29,Statistics
KAGGLE_01143,29,Statistics
KAGGLE_01147,27,Snowflake
KAGGLE_01147,29,Statistics
KAGGLE_01149,26,SQL
KAGGLE_01153,26,SQL
KAGGLE_01158,26,SQL
KAGGLE_01160,20,Python
KAGGLE_01160,22,R
KAGGLE_01161,30,Tableau
KAGGLE_01164,17,Power BI
KAGGLE_01164,20,Python
KAGGLE_01168,4,Excel
KAGGLE_01170,30,Tableau
KAGGLE_01175,1,Data Modeling
KAGGLE_01175,20,Python
KAGGLE_01175,22,R
KAGGLE_01180,4,Excel
KAGGLE_01181,26,SQL
KAGGLE_01185,20,Python
KAGGLE_01185,22,R
KAGGLE_01185,29,Statistics
KAGGLE_01188,3,ETL
KAGGLE_01188,9,Hadoop
KAGGLE_01188,24,SAS
KAGGLE_01188,26,SQL
KAGGLE_01188,28,Spark
KAGGLE_01193,13,Machine Learning
KAGGLE_01195,4,Excel
KAGGLE_01198,6,Forecasting
KAGGLE_01199,4,Excel
KAGGLE_01199,18,PowerPoint
KAGGLE_01207,29,Statistics
KAGGLE_01208,26,SQL
KAGGLE_01209,29,Statistics
KAGGLE_01212,29,Statistics
KAGGLE_01213,4,Excel
KAGGLE_01213,26,SQL
KAGGLE_01217,3,ETL
KAGGLE_01217,20,Python
KAGGLE_01217,22,R
KAGGLE_01219,26,SQL
KAGGLE_01221,22,R
KAGGLE_01223,29,Statistics
KAGGLE_01233,3,ETL
KAGGLE_01235,1,Data Modeling
KAGGLE_01241,1,Data Modeling
KAGGLE_01242,9,Hadoop
KAGGLE_01245,29,Statistics
KAGGLE_01256,3,ETL
KAGGLE_01272,29,Statistics
KAGGLE_01277,26,SQL
KAGGLE_01278,26,SQL
KAGGLE_01278,30,Tableau
KAGGLE_01280,3,ETL
KAGGLE_01283,4,Excel
KAGGLE_01284,29,Statistics
KAGGLE_01285,4,Excel
KAGGLE_01287,4,Excel
KAGGLE_01288,4,Excel
KAGGLE_01297,4,Excel
KAGGLE_01297,18,PowerPoint
KAGGLE_01298,4,Excel
KAGGLE_01298,30,Tableau
KAGGLE_01300,4,Excel
KAGGLE_01300,29,Statistics
KAGGLE_01301,4,Excel
KAGGLE_01301,29,Statistics
KAGGLE_01302,26,SQL
KAGGLE_01309,20,Python
KAGGLE_01309,26,SQL
KAGGLE_01319,26,SQL
KAGGLE_01323,9,Hadoop
KAGGLE_01323,28,Spark
KAGGLE_01327,17,Power BI
KAGGLE_01329,3,ETL
KAGGLE_01329,26,SQL
KAGGLE_01339,30,Tableau
KAGGLE_01340,4,Excel
KAGGLE_01341,20,Python
KAGGLE_01361,16,Pandas
KAGGLE_01361,17,Power BI
KAGGLE_01361,26,SQL
KAGGLE_01361,30,Tableau
KAGGLE_01363,4,Excel
KAGGLE_01364,4,Excel
KAGGLE_01365,3,ETL
KAGGLE_01365,26,SQL
KAGGLE_01372,13,Machine Learning
KAGGLE_01372,20,Python
KAGGLE_01372,29,Statistics
KAGGLE_01379,13,Machine Learning
KAGGLE_01379,20,Python
KAGGLE_01379,22,R
KAGGLE_01380,4,Excel
KAGGLE_01380,18,PowerPoint
KAGGLE_01383,26,SQL
KAGGLE_01396,4,Excel
KAGGLE_01399,26,SQL
KAGGLE_01401,20,Python
KAGGLE_01401,26,SQL
KAGGLE_01407,17,Power BI
KAGGLE_01413,26,SQL
KAGGLE_01414,4,Excel
KAGGLE_01418,3,ETL
KAGGLE_01420,30,Tableau
KAGGLE_01424,4,Excel
KAGGLE_01431,17,Power BI
